Sub.,S,Id,Equip.A,Equip Type,ChA,T. Name,Conf,Pinout,Equip.B,Equip Type,ChB,T. Name,Length,Real Length,Tray,Routing,Comments,Status,Diameter
VC,P,034680,BL11-VC-VGCT-RKX11A03-02,MKS 937A CC-1,PI2,A,STP6-1,,BL11-OP-MIR-OH01-01,BL11 MIRRSYS,PIR,B,0.0,20,S5,L1ChOH01BOC, 0,TO-Tested (Ok),7.2
VC,C,034702,BL11-VC-VGCT-RKX11A03-02,MKS 937A CC-1,SP1,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P3,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,S,037409,BL11-VC-VGCT-RKX11A03-03,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,AI05,B1,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037409,BL11-VC-VGCT-RKX11A03-03,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,AI06,B2,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037409,BL11-VC-VGCT-RKX11A03-03,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR05,B3,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,S,037409,BL11-VC-VGCT-RKX11A03-03,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,SPR06,B4,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
VC,P,034681,BL11-VC-VGCT-RKX11A03-03,MKS 937A CC-1,PI1,A,STP6-1,,BL11-VC-BLVS-OH01-03,ALBA BL VACSEC-2,PIR,B,0.0,27,S5,L1ChOH01BOC, Etiqueta intercambiada con 34682 en lado beamline. Falta en lado rack,TO-Tested (Ok),7.2
VC,P,034682,BL11-VC-VGCT-RKX11A03-03,MKS 937A CC-1,PI2,A,STP6-1,,BL11-OP-PSHU-OH01-01,ALBA BL SAFETY PHOTON SHUTTER-1,PIR,B,0.0,25.5,S5,L1ChOH01BOC, Etiqueta intercambiado con 34681 en lado beamline. Falta en lado rack,TO-Tested (Ok),7.2
VC,C,034703,BL11-VC-VGCT-RKX11A03-03,MKS 937A CC-1,SP1,A,STP8-2,,BL11-CT-PAPA-RKX11A03-01,RocketPort RM16 Patch Panel,P4,B,1.0,1,S2,NONE,INTERNAL,IO-Installed (Ok),6.7
VC,S,037410,BL11-VC-VGCT-RKX11A03-04,MKS 937A CC-1,AOUT,A1,STP12-1,,BL11-CT-PLC-RKX11A02-01,ALBA PLC CPU,AI08,B1,0.0,14.5,S1,L3, EPS,AI-Authorized for Installation,10.9
