"Sub."	"S"	"Id"	"Equip.A"	"Equip Type"	"ChA"	"T. Name"	"Conf"	"Pinout"	"Equip.B"	"Equip Type"	"ChB"	"T. Name"	"Length"	"Real Length"	"Tray"	"Routing"	"Comments"	"Status"	"Diameter"
"VC"	"P"	41488	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"CC2"	"A2"	"CoaxHV-5"		"BL04-VC-BLVS-OH01-01"	"ALBA BL VACSEC-1"	"CC"	"B2"	0	33.5	"S5"	"L2Ch2B2"	"Assembled by Cells "	"TO-Tested (Ok)"	9
"VC"	"P"	37126	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"CHV1"	"A1"	"COAXHV-5"		"BL04-OP-PSHU-OH01-01"	"ALBA BL SAFETY PHOTON SHUTTER-1"	"CHV"	"B1"	0	26	"S5"	"L2Ch2B4"	"Falta conectar en lado rack"	"TO-Tested (Ok)"	9
"VC"	"P"	41488	"BL04-VC-VGCT-RKX04A01-03"	"MKS 937A CC-1"	"CHV2"	"A1"	"CoaxHV-5"		"BL04-VC-BLVS-OH01-01"	"ALBA BL VACSEC-1"	"CHV"	"B1"	0	33.5	"S5"	"L2Ch2B2"	"Assembled by Cells "	"TO-Tested (Ok)"	9
"FE"	"P"	36271	"FE04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"CC1"	"A2"	"COAXHV-5"		"FE04-FE-TRU-F04-01"	"ALBA FE TRIGGER UNIT"	"CC"	"B2"	0	35	"S5"	"L2Ch2B1"	"Falta conectar en lado rack"	"TO-Tested (Ok)"	9
"FE"	"P"	36271	"FE04-VC-VGCT-RKX04A01-01"	"MKS 937A CC-1"	"CHV1"	"A1"	"COAXHV-5"		"FE04-FE-TRU-F04-01"	"ALBA FE TRIGGER UNIT"	"CHV"	"B1"	0	35	"S5"	"L2Ch2B1"	"Falta conectar en lado rack"	"TO-Tested (Ok)"	9
"VC"	"C"	37933	"BL04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DI01"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37933	"BL04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DO02"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37934	"BL04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DO03"	"B1"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37934	"BL04-VC-IPCT-RKX04A01-01"	"Varian Dual Controller"	"REM2"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DI02"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
"VC"	"C"	37935	"BL04-VC-IPCT-RKX04A01-02"	"Varian Dual Controller"	"REM1"	"A1"	"SMW6-3"		"BL04-CT-PLC-RKX04A05-01"	"ALBA PLC CPU"	"DI03"	"B2"	0	13.5	"S2"	"NONE"		"AI-Authorized for Installation"	6.4
