ID11/EPS/PLC-01,A,50,390,835,1155,2135,2455
VAR,,MODBUS ADDRESS,TYPE VAR,,,DEVICES,DEVICE TYPE
A06C0204REM1_IVU_S05_01_IP7_DO,.StatusRead,87,INT,,,SR_ID_IVU_S05_01_EVTS1,A
A06C0204REM2_IVU_S05_01_IP8_DI,.StatusRead,88,INT,,,SR_ID_IVU_S05_01_P1TS1,A
A06C0204REM2_IVU_S05_01_IP8_DO,.StatusRead,89,INT,,,SR_ID_IVU_S05_01_P2TS1,A
A06C0205REM1_IVU_S05_01_IP9_DI,.StatusRead,90,INT,,,SR_ID_IVU_S05_01_TCOIL_DWH1,A
A06C0205REM1_IVU_S05_01_IP9_DO,.StatusRead,91,INT,,,SR_ID_IVU_S05_01_TCOIL_DWH2,A
SR_PC_CORID_RKA06C03_01_ITLK_DI,.StatusWrite,390,INT,,,SR_ID_IVU_S05_01_TCOIL_DWV1,A
SR_PC_CORID_RKA06C03_02_ITLK_DO,.StatusWrite,391,INT,,,SR_ID_IVU_S05_01_TCOIL_DWV2,A
SR_PC_CORID_RKA06C03_03_ITLK_DO,.StatusWrite,392,INT,,,SR_ID_IVU_S05_01_TCOIL_UNH1,A
SR_PC_CORID_RKA06C03_04_ITLK_DO,.StatusWrite,393,INT,,,SR_ID_IVU_S05_01_TCOIL_UNH2,A
SR_CT_IPAP_RKA06C03_01_DIS,.StatusWrite,394,INT,,,SR_ID_IVU_S05_01_TCOIL_UNV1,A
SR_ID_IVU_S05_01_BKIN,.StatusWrite,395,INT,,,SR_ID_IVU_S05_01_TCOIL_UNV2,A
SR_ID_IVU_S05_01_CP1TS,.StatusWrite,396,INT,,,SR_ID_IVU_S05_01_TCOIL_UPH1,A
SR_ID_IVU_S05_01_CP2TS,.StatusWrite,397,INT,,,SR_ID_IVU_S05_01_TCOIL_UPH2,A
SR_ID_IVU_S05_01_CP3TS,.StatusWrite,398,INT,,,SR_ID_IVU_S05_01_TCOIL_UPV1,A
SR_ID_IVU_S05_01_CP4TS,.StatusWrite,399,INT,,,SR_ID_IVU_S05_01_TCOIL_UPV2,A
SR_ID_IVU_S05_01_EVSLD,.StatusWrite,400,INT,,,SR_ID_IVU_S05_01_TLBEAM1,A
SR_ID_IVU_S05_01_EVSLU,.StatusWrite,401,INT,,,SR_ID_IVU_S05_01_TLBEAM2,A
SR_ID_IVU_S05_01_LCP1TS,.StatusWrite,402,INT,,,SR_ID_IVU_S05_01_TLBEAM3,A
SR_ID_IVU_S05_01_LCP2TS,.StatusWrite,403,INT,,,SR_ID_IVU_S05_01_TLBEAM4,A
SR_ID_IVU_S05_01_P1SLD,.StatusWrite,404,INT,,,SR_ID_IVU_S05_01_TLBEAM5,A
SR_ID_IVU_S05_01_P1SLU,.StatusWrite,405,INT,,,SR_ID_IVU_S05_01_TTAP_DB1,A
SR_ID_IVU_S05_01_P2SLD,.StatusWrite,406,INT,,,SR_ID_IVU_S05_01_TTAP_DB2,A
SR_ID_IVU_S05_01_P2SLU,.StatusWrite,407,INT,,,SR_ID_IVU_S05_01_TTAP_DT1,A
SR_ID_IVU_S05_01_PSSW,.StatusWrite,408,INT,,,SR_ID_IVU_S05_01_TTAP_DT2,A
A06C0201CC1_IVU_S05_01_CC1_DI,.StatusWrite,409,INT,,,SR_ID_IVU_S05_01_TTAP_UB1,A
A06C0201CC1_IVU_S05_01_CC1_DO,.StatusWrite,410,INT,,,SR_ID_IVU_S05_01_TTAP_UB2,A
A06C0201CC2_IVU_S05_01_CC2_DI,.StatusWrite,411,INT,,,SR_ID_IVU_S05_01_TTAP_UT1,A
A06C0201CC2_IVU_S05_01_CC2_DO,.StatusWrite,412,INT,,,SR_ID_IVU_S05_01_TTAP_UT2,A
A06C0201PI1_IVU_S05_01_PI1_DI,.StatusWrite,413,INT,,,SR_ID_IVU_S05_01_TUBEAM1,A
